"lesson_id","lesson_title","disciplina"
"5o2d0kByTdNUwJKMJ1dOUe","A sociedade medieval","História"
"7m2WfUNLP8E5O76e8LY2jM","Patrimônio Cultural: Matrizes indígenas","Arte"
"5L1auXcCp8IoHXCprCmMVN","Homônimos e parônimos","Português"
"7ui4boktEdWu1iAnuruHfB","Transformações nas cidades","Geografia"
"5wj3wp1zT5vvfYg7RDvxSf","Pronomes relativos","Português"
"Krzt4KgISOh2jtGBRUaJ7","Fazendo a sua Massinha de Modelar","Inglês"
"KJFXfBFURATerBjCD3zOJ","A natureza e o seres humanos primitivos na arte rupestre","História"
"3pkJcm8nvIl01WBBxLYNk5","Routine (Rotina)","Inglês"
"4m1oCy5D6QOZ9VNaV9YoF8","Ortografia ""x"" ou ""ch""","Português"
"XbjBv9jLIARsDVd68n08w","Pintura Corporal: Indígena e hindu","Arte"
"5CykIjw3ffoZhgxm4RvxSb","Tempo e clima","Geografia"
"34U3LI4q43isk7aJxL9uOQ","Passive Voice (Voz passiva)","Inglês"
"NS8mLRgMCr0VTSpIJP6mP","Igualdade de equações","Matemática"
"6O1MMfk8nQ46pnpSgKk1M5","Tips to discuss stories
(Dicas para discutir histórias)","Inglês"
"5QkhXEi5WlPxBuB8Ii6Fjj","Os Gatos de Aldemir Martins","Arte"
"Wt03Alqc6fPyquTNnnTL4","Tipos de fossilização","Ciências"
"11JUr12FAtDLJbXGeHus8Z","Home page","Português"
"74KpdH6dGQRjI0D8OoDmTL","Orquestra","Arte"
"6h8QGc8OeGhKtuX4Vk2fGF","Present Continuous","Inglês"
"ayDN7MycuorJERTYJL096","A escravidão no continente africano","História"
"7weLKbuM8t1Nb9OC3KoJjB","Igreja e cultura na Idade Média","História"
"6pqeQfomP81YGYa1YyKTeU","Cálculo de porcentagens","Matemática"
"1tu9Utbww4s5mSdpwbiqXy","Simple Present (Presente Simples)","Inglês"
"3wPXzaX3fYAdW5EwN3EIO2","Clima do Brasil por região","Geografia"
"33IWj3tyzOBoLkLTEfAgNp","Hipóteses sobre o texto","Inglês"
"6htTGfUqjxiJLZ85dz3isU","Efeitos da translação da Terra","Ciências"
"7JjVTNXBJtngf1xlJhRYmT","Plano cartesiano e representação de polígonos","Matemática"
"1jwi0rIwiiVe0lpooVAZzA","Figura de linguagem: metáfora e comparação","Português"
"32s8ZhArQJfrTnRAw99tXa","Climas do Brasil","Geografia"
"0Fip7gFprYkSp7Ogs8wXY","Profissões do Teatro: Funções Artísticas","Arte"
"3ASCPFbrEZ21ViPmopMUIl","Caçadores e coletores","História"
"78MhL0qmTmqNnYHGcn94lC","Ortografia ""j"" ou ""g""","Português"
"710bOHsGbGiSYUf9vt8MC5","Solos e sua utilização","Geografia"
"2t1PR0WmIzUM3hOmLscoUF","Conservação dos solos","Geografia"
"Py3SLcV34NxXRUBA97ZW5","Variação da sombra ao longo do dia","Ciências"
"5IKTK8vinmutAPDQnwBqU6","ODS 13 - Ação contra mudança global no clima","Geografia"
"6jT2Pihbl5RUDZ5ICw5P3D","A importância da sua biografia","Projeto de Vida"
"49miyqtvveK8mPOtwYtny7","Verbs in the infinitive
(Verbos no infinitivo)","Inglês"
"2ukem9WBUeC7pFwJYBJJqt","O olho e suas partes","Ciências"
"5Rbuaii36p6viGM3lABb22","Interpretação de texto: área e perímetro de figuras","Matemática"
"1PbzJOQMkSzVfhha8VgzSv","Grupos de Teatro de Animação","Arte"
"5RoiEYCnchvLyGfA1FFjak","Divisões básicas de uma célula","Ciências"
"2LDG4zdWnUseO0nKUEEmXp","Dos povos nômades às civilizações hidráulicas","História"
"4BLmo4lEkvlG9sh68XopFQ","Conversão de unidades de medida","Matemática"
"1vHe2Zi2pEt4wYxKUtStYG","Câmara escura","Arte"
"3bYBjTpyLx79g0ePx9PwfW","Os mapas e seus elementos","Geografia"
"77KEutdrhOKqSy4yKhRLec","Vértices, faces e arestas de prismas e pirâmides","Matemática"
"1gPIEnNuNjK92ZV7R5lkhD","Sistema locomotor","Ciências"
"2ks4hnc1t5d068Ux23Uivg","Flexão dos adjetivos: gênero","Português"
"7w6SllZTFXUMhWb9XvcD8e","Tipos e utilizações dos mapas","Geografia"
"5sDphXsFJ7oL9HBvuWtDdw","Os desafios no mercado de trabalho do Brasil contemporâneo","Enem"
"7EoxHiFFtqLoKNUo1t8SKf","Uma mulher de talento","Projeto de Vida"
"2oc2WeWwpTyTzifPCHclq9","Verb to be: Simple Present - I/You/We/They (Presente Simples)","Inglês"
"4DiMylReqnE7BIchE8HPBN","Personificação","Português"
"6Q3z11WB9vnAwbsOcn80Hf","Medidas de grandezas","Matemática"
"51YOFRzNDyFtmyydRGRP2A","Enquadramento fotográfico","Arte"
"7G7HXf4f8oISfRIvJR4dqS","Máquinas simples","Ciências"
"7joFUeWwKpFmA9KvfiL0AH","Eu ou ""mim""","Português"
"2RTMj5CuEJbiVC2TpWTjzq","Sistema nervoso e substâncias psicoativas","Ciências"
"57R1YvVHmQpfdKSlRMZ7Wb","Nomofobia (sufixos)","Português"
"5DQPRtdwTi5V3g9uKs1EDZ","Abaixo-assinado","Português"
"6ICzHVtpp1ZSbELelgotM","Resumo","Português"
"2tyuZKyENb7RyhWjIMEXZq","Quadriláteros e classificação de quadriláteros","Matemática"
"2pMKwMiudxaHutm6eI1yAh","Luthier e a construção de um violão","Arte"
"JSayaoFwgBp5JKN08lnZX","Como usar adjetivos possessivos em inglês","Inglês"
"24lI4FkrZRt0ifgRGj5LNs","Retas paralelas e perpendiculares","Matemática"
"V7jT6ariXB87mnrSCRu6h","A Companhia de Jesus a conversão indígena","História"
"3OxRRQxAOrmXPowoS6nwov","Ampliação e redução de imagens","Matemática"
"z4w8CMwDeYM2aw0HPLWoN","What is an Acrostic?
(O que é um acróstico?)","Inglês"
"4SdIG6gEOI4Acq0rXsUgDf","Tipos de rochas","Ciências"
"2i37zX1DrYmsqWWKNjuqTC","Área e perímetro de figuras","Matemática"
"6ndDXGE3PnAqA1Zv4E4XCO","Daily Routine (Rotina diária)","Inglês"
"3TPV3NXSs40lkTRchZ18Dz","Localização do território brasileiro","Geografia"
"2kxkByNjuo3N2uMVmB54uL","Baião","Arte"
"2QBqvDPcjqoeuayAxwi4Jr","Os povos indígenas brasileiros: Ontem e Hoje","História"
"2pB9s9Czh5zfIvMiYVUmcD","Multiplicação de números decimais por números naturais","Matemática"
"5S6LdDQ6A0wkJUpJlRNJKD","Formação de palavras: derivação","Português"
"7uOXZQEWVtSAeITGbwy0VK","História ou Pré-História?","História"
"5I7I3ZmgHyvP6Isw2Yk2Ag","Geosfera","Ciências"
"Qf4SmyDzoT4kEkZsCEgw3","Flexão dos adjetivos: grau","Português"
"2FvpzPmBJzyGlkyBjudnxx","Esfericidade da Terra","Ciências"
"3VVawL6hF710tpxNCTIBpl","Transferência de calor","Ciências"
"JmeiUQxmZA9Cg7A2X72fl","Climas e vegetações","Geografia"
"4w0Lb7mI9ytXOPabhfB3po","Flexão dos adjetivos: números","Português"
"7eEsaqWPLmZxq2ts6tSdsl","Fósseis","Ciências"
"3ssUbBlDJi6HXBpFq7vgc7","As camadas da Terra","Geografia"
"3sPJX6EY6TJoM0XTiYCNaS","Paisagens","Arte"
"51PCfH3RwcvjV49tpGUk0p","Tipos de sujeito","Português"
"5wLGojENHvJ1ewDtpo96qn","O que é sustentabilidade?","Geografia"
"20g7seJ9hJ0tLTaJgDkqzJ","Civilização Maia","História"
"6cTm91fQnmV8MdoagoToCm","Militão Augusto de Azevedo","Arte"
"1DpSyR6lO2fJnkvG8fVuHK","Você é único, mas não está só","Projeto de Vida"
"392h7bofKwzkL9jPrzk6WN","O império asteca","História"
"7kXjgRXoKHBf9DLMlAunGt","Jogos Teatrais","Arte"
"ofNs7yonLi7hI5GVGi7i9","Interpretação de problemas matemáticos","Matemática"
"3DIolOs8M0fAzF8lX6xbnR","Ciclo Hidrológico","Geografia"
"1xddBDNsm6dBoHBCUtVJQr","A chegada dos portugueses no Brasil","História"
"1eyO64twVfEbDZGsBQlWvE","A Guerra do Paraguai","História"
"5Lj0LlpO6avtPsxfs47K3I","Perímetro e área de um quadrado","Matemática"
"1rE0SpUBns9dUytHfv9M6j","Interpretação de plantas baixas","Matemática"
"2WX2R8srDgJ3dPR0FLViSq","Orientação no espaço geográfico","Geografia"
"aCRVwz6C5tDx8SmX2lRO6","Bioma Cerrado","Ciências"
"51DC3bTV8ofbmMxWNDq1Kl","Possessive: Of
Apóstrofo S","Inglês"
"3wTrftB4PfdmabA36nsfgZ","O conceito de ""clássico"" na história","História"
"3QK1QYo0LikRMt4DcdLeHg","Do desenho ao mapa","Geografia"
"6Clm9WpE7xtZwEVOXEadk7","Falando na sala de aula","Inglês"
"1ssebnzapQ46PNmOijqYMi","Descobrimento do Brasil","Geografia"
"55Hm2IjzrcYBGfQcWKRfnd","Teatro Grego","Arte"
"6ZZSbMpL6uPCoI7e5mXtib","Atmosfera e suas camadas","Geografia"
"5ThauFNSU4OOhWVVc8g9EK","Tipos de crônica","Português"
"3MhukE1bJz9wIYBYQoZHeb","Substâncias puras X Misturas","Ciências"
"4N4SvaabbPeUyq3eQeFTf5","Tecnologias no cotidiano","Ciências"
"7FuiHYHR7z0Trb9t4apjdY","Mitos e lendas dos povos indígenas","História"
"1fawFe6dMXC5y1fGhyC86w","Conhecendo os movimentos da Terra","Ciências"
"1yfKegCbFbchjfemuxcpeV","A pólis grega - religiosidade","História"
"1WH2pV7fqwjBFVLgQZI2j6","O genocídio indígena","História"
"6QDHOiSIEzkgj4WaEpjlCw","Censo brasileiro","Enem"
"5QtGshYd670zadROPXJCR8","Terra sem lei?","Projeto de Vida"
"7zmqH27cYjixNBOpY6H7Nq","Introdução a ângulos","Matemática"
"30o5GvUWxWbZ1gtcQz9Ord","O verbo - parte 1","Português"
"5qAeR8gt2XPpJrRDEprGx1","Percussão Corporal","Arte"
"5Elj2DhuBrbMtHqxVDxVej","Biocombustíveis","Ciências"
"3PwG6l3N9xTwQcCToo44ir","Grécia clássica","História"
"eIyFpIoC8zVeLbIyLnw3Q","Números naturais (N) na reta numérica","Matemática"
"pecefb25LxlaNbIame6j0","Experimentando: transformação física ou química?","Ciências"
"71rv0AIajD0QGXTwp0r5yL","Diversidade de povos na formação de Roma","História"
"7MltxO6j7Iqx7RM6UQjqCf","Resistência indígena através dos jogos","História"
"3uluN0MCJItGdLXkCtfXRP","Artistas criadores de obras com itens de casa","Arte"
"17hapjnnK3F6uNHjKDuume","Introdução a substâncias","Ciências"
"69b8jGXUSNF1LCv8jJkyTf","Valor posicional e decomposição de um número","Matemática"
"4QJWNrNh6X6dSllcCxP3Gr","Produção de medicamentos","Ciências"
"71N24W3A1Wd4ZdTy0z5V62","Order of adjectives in English (Ordem dos adjetivos em inglês)","Inglês"
"4PnCHjYgER0CngL2xPL2RV","Grécia antiga e domínios territoriais","História"
"2Gvju9a8ra4xgbjWZduBwJ","Localização: os paralelos e os meridianos","Geografia"
"6c6PMod1bthY3vlPFuzA3f","Paridade dos números naturais (N)","Matemática"
"uPtJlE9zZK3VZ3fW87tRs","Aposto","Português"
"5mwCJC0OBRVfTJkPO2ktYi","Gêneros textuais - parte 1","Enem"
"3bUfjB97tzvCeHSnUMFKvW","A origem da bússola","Geografia"
"5OKFenBjRgBDPjqI6Q0HfC","Números primos e números compostos","Matemática"
"e0X8uRUEYn1pUtgbYSNnb","Identificando as pessoas","Inglês"
"65bZJOq9zb2Enq2m78tpqm","Arte contemporânea","Arte"
"63nQ3RioOtikN0xjbOPRLy","Funções da linguagem","Enem"
"5bCWW9JVFuHtgI4DX2I65T","Coletando informações: Escola","Inglês"
"2gZmrbXxpx5KhazgQSAjGW","Como o GPS funciona?","Geografia"
"7mjo90e6re1g70KJZJN7dn","Texto Injuntivo","Português"
"41yFcwrycIJTF1VMGOycBV","Semana de Arte Moderna","Arte"
"2azAvS4MD4kL6CaHHxb6XJ","Relações de trabalho e de exploração na América portuguesa","História"
"62ALNIXC0TnaTRtW6HwGwT","Romantismo 3ª geração","Enem"
"75pdWMqRHMMgQsSIMZnCVX","Cumprimentos","Inglês"
"71E2PFALYHN6QDYrfsUNEx","A ideia de democracia na Grécia antiga","História"
"7tznzUbAMc8rAvpNxvTjb","Semana de Arte Moderna - parte 2","Arte"
"EMXA4OgmojNnNbHkwlPDC","Fenômenos naturais e impactos ambientais","Ciências"
"60Vt7H3D30iUo2bHzfphCG","Estrutura e crescimento da população no Brasil","Enem"
"3nnH0gZlNjFl2mu4NzdnFG","O verbo - parte 2","Português"
"5pNErYMEMVvopGHX9Pcyjl","Notícia","Português"
"6xuTFhGmnuK9fG99E26YRP","Escravização no Brasil","Geografia"
"2udrd9yuCM5VUMHh7cSTix","Linguagem algébrica: variável e incógnita","Matemática"
"6ovXyRGe10xHNzKigvoPdv","Verbo","Enem"
"2SgmKyFxxyF6Ynk8pHBIjE","Progressão Geométrica (PG) e função exponencial","Matemática e suas Tecnologias"
"5GWdsWRpYw6KSZaLBCdUWG","Coordenadas geográficas","Geografia"
"1lKLDYQryRFfw8YvZkemTW","Vanguardas europeias","Enem"
"1ahZ4vQu5MDPiGHrscQLbZ","s ou ""z""","Português"
"1sRijfPDEj2Sr3VUng3vhr","Globalização","Enem"
"3Atvs8XD48a2eLHaykCrEM","Saúde na escola: a prática de esportes como estratégia de vida","Projeto de Vida"
"3ObjN9s7lUfajcvzz5SPML","Conflitos sociais: patrícios e plebeus","História"
"EuvKg7KSAR1ep1O31Riyr","Figurino - A roupa que dança","Arte"
"33tSlb8nGuXGBotfFQFpyM","Future with will and going to (Futuro com will e going to)","Inglês"
"3Ya4dEN0atcK9l8ryfZ7Og","Barroco","Enem"
"4sLpR6XSSMukmBN63jtEqR","Eventos e espaço amostral","Matemática e suas Tecnologias"
"i0c3bcNQjNloJs7JrDUMl","Concretismo","Arte"
"2frB88zDpFhQM7KVeJFFVI","A Declaração Universal dos Direitos Humanos","Ciências Humanas e Sociais Aplicadas"
"4YFXX89kmLKSm6nNKQkz1v","Os bandeirantes na América portuguesa","História"
"3TndW0mCS6l4vcB0WFNR7R","Do rio até sua torneira: o caminho que a água percorre","Ciências da Natureza e suas Tecnologias"
"6x75ydrLRcwspvlfzBCm2E","Emprego, trabalho e renda","Ciências Humanas e Sociais Aplicadas"
"7Ho1zctgrIJYtko6Zfh3QC","Você viveria num mundo sem conexão?","Ciências Humanas e Sociais Aplicadas"
"3KxHnJbveG7anz8HviCRNW","Capitanias e suas bases econômicas","História"
"2myD7ezonekxlUP6iunwwP","Critérios de divisibilidade","Matemática"
"6TPWcupfmfG2UZSys7vfAh","Cidadania da Roma antiga","História"
"6V3ISYA1QvZM7vH3exYTMa","Divisores e múltiplos","Matemática"
"6dqf9jvR5hAKirhSG4jXtI","O que as pessoas estão fazendo?","Inglês"
"4L3QmglMSyBElOeB7dxix3","Simple present: usos e frases afirmativas","Inglês"
"xmp9JWziwLOjAHphwLelr","O que são sequências recursivas e não-recursivas","Matemática"
"4NRJmyh4FnKr3lbk76bC5M","Teatro de Arena","Arte"
"1j4heQzqjgDHdUhlaXakvr","Texto dramático","Português"
"4I26sQN1fTPTzv5szx2hNn","Calculando distâncias a partir a escala cartográfica","Geografia"
"5UM1VA09XngXna5dtCDS1h","Anita Malfatti","Arte"
"3pnU0kFd3TBr5JL6JkyAyk","Problemas com adição de números decimais","Matemática"
"3aEZ96BeDQ7zK0mLhDJQ4Z","Célula procariota X Célula eucariota","Ciências"
"5j9ltsE6Ely8DKJnO9wkaY","Respondendo perguntas sobre minha rotina","Inglês"
"CVLBqbg9XALLetnoldQS4","Problemas com multiplicação de números decimais","Matemática"
"5Jt0WKSGY8t9kOMNQIYCeQ","Os caiçaras e seu modo de vida","Geografia"
"3p9FucKUzn6DlE1zKGOJcy","Verb to be: Simple present, 3rd person (Presente simples)","Inglês"
"KeX72dblM7Q8r48avwU5w","Abstracionismo","Arte"
"5OyrLfsXk8MoJLNtbSAs4Q","Franz Marc - Xilogravura e Pintura","Arte"
"JueIlsI7kOSiK2jKWSjqb","Aprendendo a jogar amarelinha","Inglês"
"3VmpRrweKsdqzZmrWvB57u","Desigualdade racial no Brasil","Geografia"
"5skR1qN8GDmJIQI1fdkXHX","Ilustração de Livros","Arte"
"5ARu6kbrktuJRZesTPfUxq","Caso genitivo ('s) - É meu, é seu ou é nosso?","Inglês"
"2AEPYgvwgyRZgHfzKtPVdX","Planta e Arquitetura Cenográfica","Arte"
"1KEdfH0I819bJzQCfSW6Wg","Poluição atmosférica","Ciências"
"2SpyjJDdnh5sphIUkJedVm","Relato pessoal","Português"
"4NgTf2Ij5oWYQgn4P4tAEi","Usos Múltiplos da Água","Geografia"
"LHawdH6pgZ9JAH3TSUcL6","Música Clássica","Arte"
"54V7gtSwVUGCWHLAkBqLTW","Lasar Segall - a cultura marginalizada","Arte"
"40mBTesaLIYChEssJjYCKw","Romantismo 2ª geração","Enem"
"5R6nJ3oUufObUgO3wTLIbo","Sonhos e Projeto de Vida","Projeto de Vida"
"3Ud0WPjgP0y7ZX1imqtmAG","As guerras no Império asteca","História"
"70e9SCre0Uh7RnV29jS4VS","Resenha","Português"
"6QYGOApqJef6n7rbn6lhzc","Problemas com divisão de números decimais","Matemática"
"3e3OWIaEzmkEZxTdcz9xhd","Os impactos da modernidade e seus variados contextos","História"
"7EAuEaIOhl7ApKwVKiy40o","Problemas com subtração de números decimais","Matemática"
"5Ufrzjfd6poah2wcXQOdY5","Água: repense suas atitudes","Geografia"
"3PWSUj2D0FX6NBrSFCfMJ9","Aproximação (arredondamento) de casas decimais","Matemática"
"1FpkvvFYOGGhk2t0IRZ5k1","Águas subterrâneas - Aquíferos","Geografia"
"5vYHTskEr1HYE49zEiCVdv","Suffixes (Sufixos)","Inglês"
"1QdXPSvxA0ANgBZkr6dxYL","Equivalência de expressões algébricas","Matemática"
"4QwX2Ri2mcfVPKc3MetNJa","Divisão de números decimais por naturais","Matemática"
"2QRiDLjiCyYlmUMDTWimNe","Organelas celulares","Ciências"
"gz9zmWgDVWLkoboJC7Bjs","Interações e diversidade na formação da sociedade medieval","História"
"41hHgHlExJDfBOKjrTNHK3","Aquecimento global","Ciências"
"2IuQ7syOWAGtIZzsVQkTfw","What is a biography? (O que é uma biografia?)","Inglês"
"5DflguZN6UXv8pfbYZdLEa","Vocabulário: Andando pelas ruas","Inglês"
"5HUxIvT0nhUv8WpBiNLTni","Diário","Português"
"1KTCgM2lTVv81bdzlcizT7","Construção de vocabulário ligado ao vestuário (roupas)","Inglês"
"2ns5hz9EFixEK0okFScGSu","Frase","Português"
"3ZG49649AgLLBO7kxuXRjB","O palco italiano","Arte"
"1n1dlL4QE3HEr1t7FA5OdO","Sistema esquelético","Ciências"
"2sHOADaMcJX4VWRXQiFuJY","Por que falta água no Brasil?","Geografia"
"6R9vww7TkATwV0KqSBoiYL","O que são bacias hidrográficas","Geografia"
"6o1Oo7UEDWhy5uQVC8qarb","Ato reflexo","Ciências"
"3SVGcINRTQGPwbmoVsYL18","Efeitos das drogas no organismo","Ciências"
"QkvoYZu76MRy8MBBNWfQ5","O que é literatura de cordel","Português"
"3lrftitaNKRxRIyqpk02lg","Profissão - curador","Arte"
"6Pbo4aORNUJdeUylu2YtCE","Cérebro","Ciências"
"7DqQERUDlpYtjboGXPNdiG","Órgãos dos sentidos","Ciências"
"2dicgAdKjKbTBdaHL2kMnt","Presente contínuo (forma negativa)","Inglês"
"3UqCSlrqbzL77QcAvHKgl6","Tipos de ilustração","Arte"
"69fJp6mYQgJ2mI9E2HJyf0","Portugal dominando os mares: a chegada à Índia","História"
"3Oe4vHd7xv5Sa3QnEcZGX0","Gestão ambiental - A importância dos rios e matas ciliares","Geografia"
"2mTKUGVMDEsXuzGtpx2lKs","Estilos de vida e desigualdades na Europa medieval","História"
"TVlm7Fta4kd48BYhBxMly","Retas concorrentes e coincidentes","Matemática"
"3xgJ4sd5QVWyLRp4xSikni","Tipos sanguíneos e probabilidade","Ciências da Natureza e suas Tecnologias"
"19QvOqbvX3BZilWawBGq8f","Divisão em partes desiguais","Matemática"
"567KUOYAFNVJGFqkYbuXIC","Feudalismo: senhores e servos","História"
"1zPb03EmY4cYWTWxvPerMs","Problemas envolvendo ângulos","Matemática"
"3Sdy8uhGt6wgViygIsZcmg","Presente contínuo (forma afirmativa)","Inglês"
"6tge0vcFgjoPOofN9i6VG5","Sistema Nacional de Unidades de Conservação (SNUC)","Geografia"
"5YAJ7wmioZx9ZeB3fRP0Ei","Feudalismo","Enem"
"46JKxAaZm7AZmomVhlWy6B","A organização dos estudos e o planejamento profissional","Projeto de Vida"
"61H9n4mSDr84Sa9jqGhFjy","Retas perpendiculares e oblíquas","Matemática"
"3V9jBx4PS15kPBgOkQ0GHt","Simple Present (interrogativa)","Inglês"
"7IagT7W0CjCIoE9a2VIzkn","Portal de notícias","Português"
"6kesGfootYgxgwg862gOBU","Conto popular","Português"
"2jkLx57CIuk0L21ZvGj9uE","Sintaxe","Português"
"5nXwwQaAUI3VAheBzFr6xE","Período","Português"
"5rKUDtQ6LBb2RwQ4idijZ","Pronomes demonstrativos","Português"
"5SdccFzzniUeXohFhQ4FdY","Roteiro de viagem","Português"
"3iqJHWwiT21SIUThoUODjf","A cenografia na televisão","Arte"
"6cNFNjvf2FwJUzmcqEonV0","Rios urbanos","Geografia"
"6njPxL4fmgs1mB4bsHXve0","Presente contínuo (forma interrogativa)","Inglês"
"2LA2JL1lZYj9x1R1Xe5liC","Classificação de ângulos","Matemática"
"6bsK2Vuh1PEKU0gPisERRm","Os imigrantes e o Ciclo do Café","Geografia"
"1dA6EzxrBpYB9efeyNlwQx","História da escravidão: conceitos e perspectivas","Enem"
"5HVRf37CxLaLeEAxEwcDmQ","Resolução e enfrentamento de conflitos","Projeto de Vida"
"4nANpOcPF4iEBgJN7ru0Sm","Suserania e Vassalagem","História"
"1TQXdstiaINjnzWDXxRZ35","Pronomes Pessoais","Português"
"70hGMulTXvuRtmX984zOZn","As diferentes formas de trabalho no mundo antigo","História"
"1PTjWOiIhtNHOfK4GkpkyY","O mercantilismo","História"
"6C3SYIFJ3cIx9Xtu0J3Xpa","Período simples e composto","Português"
"1kCUTUTi6xns4Qt74fYqXL","Aplicando a redução e ampliação de polígonos e figuras","Matemática"
"2ZDPQI5xzXOVldb3ibVg0E","Grandes pessoas, grandes histórias de vidas","Projeto de Vida"
"1zAH1P0dAH5pdJSufyEJFj","Drogas lícitas","Ciências"
"2eDMRkgV53Q7fp2r5dJ7SN","Ângulos complementares e suplementares","Matemática"
"6Ccet6kJe02halvj8W1UO9","Bioma Pampa","Ciências"
"2HQgeKz93IlfomdMCQwEJU","Música e comunicação","Arte"
"2nJz3PFFa2IiPlOrx0uKFP","Emoções","Inglês"
"7gWB43S6XKVXC1gY86aCp6","Pronomes possessivos","Português"
"3sDsZCFdzJtsrko8QfUUCL","O tratamento da água","Geografia"
"3cUJfcAFNFxGbQ3NgNU1vQ","Classificação de orações coordenadas","Português"
"3lHUb9SJemIWrH08Hu4U7q","Simple Present (negativa)","Inglês"
"3vojqV76i52jbu7LAzjqpy","Drogas ilícitas (Parte I)","Ciências"
"HqsbDMH3go8lD3j4s2kgR","Drogas ilícitas (Parte II)","Ciências"
"2Oa1QvPwo1bxSLH2ErZpDe","Imigrantes: uma história de lugares e recomeços","Geografia"
"3Eginh4zk2At9FKMQsLlDd","ODS 6 - Água limpa e saneamento","Geografia"
"1z2BFKlCCgApFREhiseqoO","Adicionando cor à massinha de modelar","Inglês"
"1cFDEBaawcKUipPAjHhZjA","Religião e cultura na Idade Média","História"
"2eeGoQOvGm2yMm0tpC9BIP","Pronomes de tratamento","Português"
